City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
303,Yulara,AU,-25.2406,130.9889,69.93,69.93,42,0,14.23,clear sky
304,Mago,RU,53.2514,140.1822,47.93,47.93,95,100,10.04,moderate rain
305,Faya,SA,18.3851,42.4509,67.95,67.95,29,38,4.32,scattered clouds
306,Lisala,CD,2.15,21.5167,69.04,69.04,99,97,2.59,overcast clouds
307,Jucurutu,BR,-6.0339,-37.0203,77.52,77.52,66,34,9.1,scattered clouds
308,North Platte,US,41.1239,-100.7654,66.38,64.33,49,0,4.0,clear sky
309,Nador,MA,35.174,-2.9287,75.45,75.45,94,0,1.14,clear sky
310,Quatre Cocos,MU,-20.2078,57.7625,68.09,68.09,76,11,13.33,few clouds
311,Keffi,NG,8.8486,7.8736,69.6,69.6,98,34,1.54,scattered clouds
312,Ati,TD,13.2154,18.3353,81.73,81.73,68,21,10.31,few clouds
313,Kungurtug,RU,50.5994,97.5228,62.56,62.56,35,69,2.53,broken clouds
314,Garowe,SO,8.4054,48.4845,73.51,73.51,74,58,24.79,broken clouds
315,Poshekhonye,RU,58.4993,39.1353,41.11,41.11,83,56,4.56,broken clouds
